function,"Full space (F=0.5, CR=0.9)",Full space (evolving DE),"Random projection d=10 (abs. F=0.5, CR=0.9)",Random projection d=10 (abs.),Random projection d=10 (add.),"Random projection d=50 (abs. F=0.5, CR=0.9)",Random projection d=50 (abs.),Random projection d=50 (add.),Random blocking d=10 (abs.),"Random blocking d=10 (add. F=0.5, CR=0.9)",Random blocking d=10 (add.),Random blocking d=50 (abs.),"Random blocking d=50 (add. F=0.5, CR=0.9)",Random blocking d=50 (add.),LoRA r=8 (abs.),Dual EA Diag-LoRA B=10 r=1 (add.),Dual EA GS-LoRA B=10 r=1 (add.),Dual EA IB-LoRA B=10 r=1 (add.),Dual EA LoRA r=1 (add. v2),Dual EA LoRA r=1 (add.),Dual EA LoRA r=2 (add.),Dual EA LoRA r=4 (add.),Dual EA LoRA r=8 (add.),Dual EA R1-LoRA B=10 r=1 (add.),Dual EA S-LoRA B=10 r=1 (add.),"2-phase full-sub add. d=50, np=128, F=0.5","2-phase full-sub add. d=50, np=128, F=0.5, CR=0.9","2-phase full-sub add. d=50, np=64"
F1,3.451965e+03,2.739203e+04,1.974658e+11,1.968523e+11,4.131568e+11,1.484526e+11,1.571451e+11,3.375074e+11,1.944073e+11,4.298186e+11,3.874999e+11,1.539358e+11,2.746193e+11,2.452381e+11,4.019070e+11,7.139069e+06,2.857972e-12,1.046138e+03,9.756186e-08,1.490421e-06,4.577435e-03,4.673915e+02,8.409775e+05,2.336368e+03,2.290546e+06,1.254298e+06,1.254298e+06,1.728594e+10
F2,4.414828e+03,2.025206e+02,--,4.625007e+04,1.387246e+05,--,4.213950e+04,1.205134e+05,4.181281e+04,--,8.411446e+04,3.764846e+04,--,7.371127e+04,1.169965e+05,1.055878e+04,4.915384e+03,3.953977e+03,3.320137e+03,3.597127e+03,3.773244e+03,5.805972e+03,9.157045e+03,4.736859e+03,5.819053e+03,--,--,--
F3,2.931587e+00,--,--,2.097556e+01,2.143168e+01,--,2.091373e+01,2.141470e+01,2.095839e+01,--,2.139599e+01,2.063881e+01,--,2.106646e+01,2.142888e+01,1.475722e+01,1.776549e+01,1.991704e+00,1.322275e+00,1.881914e+01,1.892088e+01,1.907024e+01,1.912828e+01,2.014215e+00,1.369715e+01,--,--,--
F4,1.332999e+10,6.511512e+10,--,5.941516e+13,1.724441e+14,--,2.525597e+12,3.869284e+13,5.453433e+12,--,1.534756e+13,7.834045e+11,--,1.147814e+12,--,1.092161e+10,1.521895e+10,2.608348e+10,7.780526e+09,1.015357e+10,6.594505e+10,3.964088e+10,3.302407e+10,2.530507e+10,3.731652e+09,--,--,--
F5,1.827193e+06,9.623502e+06,--,4.082163e+07,1.206821e+08,--,2.683830e+07,7.406883e+07,3.297733e+07,--,7.200130e+07,1.888227e+07,--,3.190676e+07,--,2.397839e+06,4.996992e+06,1.883149e+06,1.822844e+06,4.281199e+06,4.142550e+06,4.144277e+06,4.138800e+06,2.671202e+06,3.209267e+06,--,--,--
F6,1.851298e+03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.507282e+04,8.607636e+04,5.622169e+03,5.651566e+03,1.345586e+05,1.345608e+05,1.345722e+05,1.345941e+05,5.602777e+03,9.334462e+04,--,--,--
F7,9.525008e+07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.452601e+08,6.440457e+06,4.092539e+08,1.957765e+07,1.447975e+07,3.455047e+08,4.639430e+08,4.639430e+08,7.619419e+08,3.073546e+07,--,--,--
F8,5.500395e+13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.632566e+13,4.131705e+13,1.333615e+14,1.754711e+14,2.216037e+14,1.786271e+14,--,--,--,--,--
F9,8.317490e+07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.930449e+08,3.888995e+08,4.042579e+08,4.025006e+08,--,--,--,--,--
F10,8.640240e+07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.813963e+07,8.718621e+07,8.773856e+07,8.890665e+07,--,--,--,--,--
F11,9.245497e+11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.263120e+11,9.328971e+11,9.324000e+11,9.659214e+11,--,--,--,--,--
F12,9.406771e+03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.283362e+03,1.337816e+03,2.658863e+03,3.471483e+04,--,--,--,--,--
F13,5.513071e+09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.595853e+08,6.555470e+08,1.343201e+10,1.068581e+10,--,--,--,--,--
F14,5.087676e+10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.205045e+08,1.116692e+09,2.423616e+11,1.109157e+11,--,--,--,--,--
F15,3.910111e+07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.539896e+07,3.514510e+07,2.516922e+07,4.184644e+08,--,--,--,--,--
