# target_mode=low_rank
# shifted_benchmark=ackley
method,seed,relative_mse,benchmark_value
LoRA_SVD_rank_r,,2.2121600502269953e-31,3.9968028886505635e-15
LoRA_LBFGS_best_restart,2,2.8111357915503680e-18,6.7206760157034751e-09
Random_projection,1000,7.3602197716378059e-01,4.8792592666131434e+00
Random_projection,1001,7.4870026775374909e-01,4.8725513161195195e+00
Random_projection,1002,8.1416272884206409e-01,5.0325605879741069e+00
Random_projection,1003,8.0177367365019159e-01,4.9778047606451388e+00
Random_projection,1004,7.6236189054515302e-01,4.8701697972411502e+00
Random_projection,1005,7.5798036555805515e-01,4.9304581408224912e+00
Random_projection,1006,7.6501632847778001e-01,4.9264982252705458e+00
Random_projection,1007,8.1553095004054033e-01,5.0173234221254326e+00
Random_projection,1008,7.8650591601350417e-01,4.9902085872075368e+00
Random_projection,1009,8.3124879732414181e-01,5.0889339823132609e+00
Random_projection,1010,8.1442138217634596e-01,5.0178362996051185e+00
Random_projection,1011,7.8523569351673972e-01,4.9165269010480870e+00
Random_projection,1012,8.3433100329603671e-01,5.0625049238262108e+00
Random_projection,1013,8.1298340554269022e-01,5.0309359899538748e+00
Random_projection,1014,7.9389906052946879e-01,4.9226832887190639e+00
Random_projection,1015,8.2592633843220764e-01,4.9660561303333814e+00
Random_projection,1016,7.8159681433645278e-01,4.9858195757605870e+00
Random_projection,1017,8.3748270225832844e-01,5.1040290435390716e+00
Random_projection,1018,8.4856519472093983e-01,5.0876226695940829e+00
Random_projection,1019,8.6725177259975805e-01,5.1322273892335524e+00
Random_projection,1020,8.0440200435901699e-01,5.0157438051929546e+00
Random_projection,1021,7.5487802784279845e-01,4.8866482826309969e+00
Random_projection,1022,8.3334300694013974e-01,5.0702869569837610e+00
Random_projection,1023,7.6767491441785451e-01,4.9958734586406983e+00
Random_projection,1024,8.0228361298325046e-01,4.9589765911598036e+00
Random_projection,1025,8.2239490125100345e-01,5.0352835785522103e+00
Random_projection,1026,8.3659132691175353e-01,5.0240221719466156e+00
Random_projection,1027,8.2893476101445573e-01,5.0639201616833560e+00
Random_projection,1028,8.0261771742514609e-01,4.9808921043872196e+00
Random_projection,1029,7.9882883235680291e-01,4.9614886497665616e+00
Random_blocking,1000,7.8466180201098013e-01,4.9357618908104435e+00
Random_blocking,1001,8.1627140235721451e-01,4.9648301702648752e+00
Random_blocking,1002,8.5103471193144853e-01,5.0527649820884619e+00
Random_blocking,1003,7.9081866329788464e-01,4.9762385881053497e+00
Random_blocking,1004,7.6777555220002103e-01,4.9029593278253287e+00
Random_blocking,1005,7.8520682068006176e-01,4.9936255953059501e+00
Random_blocking,1006,8.3433343021788209e-01,5.0518543300549368e+00
Random_blocking,1007,7.8719219358484438e-01,5.0158354951476660e+00
Random_blocking,1008,8.0598189561972355e-01,5.0142843043586467e+00
Random_blocking,1009,8.4539186029198599e-01,5.0447964011002320e+00
Random_blocking,1010,7.7356954617305285e-01,4.9230530780704207e+00
Random_blocking,1011,8.1079829679114523e-01,4.9316642840141824e+00
Random_blocking,1012,7.9582497124655427e-01,5.0210625397278612e+00
Random_blocking,1013,7.9942716555278348e-01,4.9697758363272051e+00
Random_blocking,1014,7.9790872120124146e-01,4.9619202386259822e+00
Random_blocking,1015,7.8615384061203641e-01,4.9227237069926915e+00
Random_blocking,1016,7.7579937468936577e-01,4.8695456574143421e+00
Random_blocking,1017,7.9705195309622867e-01,4.9809950206174989e+00
Random_blocking,1018,8.5706145165652414e-01,5.1623486520903583e+00
Random_blocking,1019,8.3112472447510932e-01,5.0486726275524525e+00
Random_blocking,1020,8.2428549214905711e-01,5.0434073981854333e+00
Random_blocking,1021,7.9281819835852141e-01,4.9819814413199204e+00
Random_blocking,1022,7.4147632295911126e-01,4.9094716611438010e+00
Random_blocking,1023,8.2692794408555714e-01,4.9693503075314531e+00
Random_blocking,1024,7.8081997442339135e-01,4.9048539745217887e+00
Random_blocking,1025,8.3679355711887349e-01,5.0797063611733222e+00
Random_blocking,1026,8.1311220989617461e-01,5.0277639301114867e+00
Random_blocking,1027,8.0685320574071617e-01,5.0388605312639179e+00
Random_blocking,1028,8.2159182224000060e-01,5.0189940989005883e+00
Random_blocking,1029,8.4004191534076633e-01,5.0783866033792542e+00
