# target_mode=random
# benchmark=ackley
target_mode,lora_rank,search_dim,method,seed,is_best,relative_mse,benchmark_value
random,1,40,LoRA_SVD,,1,8.3554569500967768e-01,5.1088397086392554e+00
random,1,40,LoRA_LBFGS,2,1,8.3554569500967923e-01,5.1088396908362732e+00
random,1,40,Random_projection,11000,0,9.2114822777782834e-01,5.2495227567613121e+00
random,1,40,Random_projection,11001,0,8.7596024085329094e-01,5.0766783848266961e+00
random,1,40,Random_projection,11002,0,8.7883783525095982e-01,5.0671129196183387e+00
random,1,40,Random_projection,11003,0,8.8408112335483868e-01,5.1066156226694730e+00
random,1,40,Random_projection,11004,0,9.0325798240330102e-01,5.2568000215412205e+00
random,1,40,Random_projection,11005,0,9.2625217687539108e-01,5.2207691045384692e+00
random,1,40,Random_projection,11006,0,9.2424119947265826e-01,5.1846020444085035e+00
random,1,40,Random_projection,11007,0,9.2514937666266250e-01,5.1920946136932109e+00
random,1,40,Random_projection,11008,0,8.6877451401311401e-01,5.1681070024103519e+00
random,1,40,Random_projection,11009,0,8.9953171068207038e-01,5.1617163878015191e+00
random,1,40,Random_projection,11010,0,8.8306413580530374e-01,5.1668496569637483e+00
random,1,40,Random_projection,11011,0,9.4896688595473211e-01,5.3014399024978971e+00
random,1,40,Random_projection,11012,0,9.4190981329781576e-01,5.2424198725082114e+00
random,1,40,Random_projection,11013,0,8.7750582490607054e-01,5.0917350238490329e+00
random,1,40,Random_projection,11014,0,9.1288010141859000e-01,5.2140725812053503e+00
random,1,40,Random_projection,11015,0,9.2347549399476325e-01,5.2090660235861783e+00
random,1,40,Random_projection,11016,0,8.9551093166778040e-01,5.1569367209497692e+00
random,1,40,Random_projection,11017,0,9.0889932280290031e-01,5.2417399602068286e+00
random,1,40,Random_projection,11018,0,8.9255974469615007e-01,5.1796977475330479e+00
random,1,40,Random_projection,11019,0,8.9811446442775500e-01,5.2182416225680406e+00
random,1,40,Random_projection,11020,0,9.2205567916221487e-01,5.2048996776309870e+00
random,1,40,Random_projection,11021,0,9.1024121746061049e-01,5.1389444745720994e+00
random,1,40,Random_projection,11022,0,9.0948457699171914e-01,5.1425254262951903e+00
random,1,40,Random_projection,11023,0,8.9511050262317593e-01,5.1612026966495144e+00
