# target_mode=random
# shifted_benchmark=ackley
method,seed,relative_mse,benchmark_value
LoRA_SVD_rank_r,,7.0558314140458556e-01,4.8391845225785524e+00
LoRA_LBFGS_best_restart,0,7.0558314140458811e-01,4.8391844695708528e+00
Random_projection,1000,8.0390004002899218e-01,5.0398664592682643e+00
Random_projection,1001,8.3537848092362399e-01,5.1055446983762103e+00
Random_projection,1002,7.7257198652005776e-01,4.9509183144210844e+00
Random_projection,1003,8.3934096868265473e-01,5.0440217260807039e+00
Random_projection,1004,7.8521621392266749e-01,4.9335789884667811e+00
Random_projection,1005,8.3591238877012841e-01,5.0959549727327556e+00
Random_projection,1006,8.0009933117667265e-01,5.0321115285164346e+00
Random_projection,1007,8.1032324085427121e-01,4.9917297741485704e+00
Random_projection,1008,7.8045035046047651e-01,5.0414231864226089e+00
Random_projection,1009,8.3068963749003166e-01,5.0589154048828462e+00
Random_projection,1010,8.0970402301132172e-01,5.0457030650415682e+00
Random_projection,1011,8.3793782553727214e-01,5.0699381805937769e+00
Random_projection,1012,8.5073373365495808e-01,5.0748330225270024e+00
Random_projection,1013,8.4022131259904120e-01,5.0646363935527212e+00
Random_projection,1014,8.1122970106743608e-01,5.0661701845652907e+00
Random_projection,1015,8.3445687820453618e-01,5.1062974689738851e+00
Random_projection,1016,7.2608911925998854e-01,4.8513927101353502e+00
Random_projection,1017,7.7499273538354929e-01,4.9329201196831036e+00
Random_projection,1018,8.0966759374280606e-01,5.0664354737484878e+00
Random_projection,1019,8.1060461170853149e-01,5.0794073307223577e+00
Random_projection,1020,7.7332272017490367e-01,4.9962334144432745e+00
Random_projection,1021,7.9575102472427439e-01,4.9520823232746807e+00
Random_projection,1022,7.7183003747306178e-01,4.8983143248925813e+00
Random_projection,1023,7.6305680129075493e-01,4.9424179170725644e+00
Random_projection,1024,7.7673689766095388e-01,5.0141744798367540e+00
Random_projection,1025,8.4260471902967771e-01,5.1491699075823156e+00
Random_projection,1026,7.7496543333593271e-01,4.9531561200326060e+00
Random_projection,1027,7.9960376011083778e-01,4.9575513302226888e+00
Random_projection,1028,7.9314466568681952e-01,5.0103428028712109e+00
Random_projection,1029,7.4048718059544727e-01,4.8984245946300682e+00
Random_blocking,1000,8.1839164563936295e-01,5.0474288047506803e+00
Random_blocking,1001,7.4674264425877024e-01,4.8792481428331911e+00
Random_blocking,1002,8.0492400272694709e-01,5.0955089806976588e+00
Random_blocking,1003,7.8509212279076102e-01,4.9751803072612830e+00
Random_blocking,1004,8.2894011880671448e-01,5.0882545506221177e+00
Random_blocking,1005,7.8566948298228201e-01,4.9741959174632200e+00
Random_blocking,1006,7.9483425613436653e-01,5.0101347771801095e+00
Random_blocking,1007,7.6955091495607719e-01,4.8486573570927298e+00
Random_blocking,1008,7.7403359717474962e-01,4.9371495606729816e+00
Random_blocking,1009,8.0651654837628040e-01,5.0168893169298876e+00
Random_blocking,1010,7.3027687574765077e-01,4.9168970962123133e+00
Random_blocking,1011,8.0141034546604040e-01,4.9871566202595830e+00
Random_blocking,1012,7.9280834770402009e-01,5.0231745316210592e+00
Random_blocking,1013,7.7395405581165244e-01,4.9952078401514015e+00
Random_blocking,1014,7.8921845552287595e-01,4.9904020292365523e+00
Random_blocking,1015,7.5296387560415035e-01,4.9763395523216580e+00
Random_blocking,1016,8.0187945729952315e-01,4.9805803339637933e+00
Random_blocking,1017,8.1738138239804714e-01,5.0979027700376847e+00
Random_blocking,1018,8.1522036552096588e-01,5.0802085496573497e+00
Random_blocking,1019,7.8349812070231428e-01,4.9808681893177749e+00
Random_blocking,1020,8.0409445992156303e-01,5.1045280577337913e+00
Random_blocking,1021,7.8205762353157282e-01,4.9927471227500710e+00
Random_blocking,1022,7.6659494953453622e-01,4.9304360721061080e+00
Random_blocking,1023,8.3681436174410073e-01,5.0636003507495140e+00
Random_blocking,1024,7.9616435137846475e-01,4.9493126115317985e+00
Random_blocking,1025,8.0152723431216455e-01,5.0175010911426270e+00
Random_blocking,1026,8.2385824828990240e-01,5.0273488331298424e+00
Random_blocking,1027,8.3673072227589873e-01,5.0614142569960840e+00
Random_blocking,1028,7.7994678847208809e-01,4.9221711297163715e+00
Random_blocking,1029,8.4746126330865601e-01,5.0879492844908825e+00
