# target_mode=random
# shifted_benchmark=rastrigin
method,seed,relative_mse,benchmark_value
LoRA_SVD_rank_r,,8.3554569500967768e-01,1.1141537096727447e+01
LoRA_LBFGS_best_restart,1016,8.3554569500967835e-01,1.1141537230601948e+01
Random_projection,1000,9.0332198042971124e-01,1.0590934626287558e+01
Random_projection,1001,9.3841647694469776e-01,1.1017900206432763e+01
Random_projection,1002,9.1085959213659151e-01,1.1157509093755532e+01
Random_projection,1003,9.1345400908026086e-01,1.0622627263777847e+01
Random_projection,1004,9.1167043544185833e-01,1.1659623435393673e+01
Random_projection,1005,9.0767515859877534e-01,1.1950477071998922e+01
Random_projection,1006,9.1507324098503195e-01,1.0749444160988872e+01
Random_projection,1007,9.3433296825362400e-01,1.1020843558299875e+01
Random_projection,1008,8.7947769993826530e-01,1.1183003546439855e+01
Random_projection,1009,9.0538191730493955e-01,1.1157302693578469e+01
Random_projection,1010,9.0629889400929742e-01,1.0646240442003135e+01
Random_projection,1011,8.7117960510782999e-01,1.0328543461354105e+01
Random_projection,1012,9.0559679940683080e-01,1.0646548957070609e+01
Random_projection,1013,9.1442677336276179e-01,1.1226408353771504e+01
Random_projection,1014,9.0008774479152132e-01,1.0982764519100325e+01
Random_projection,1015,9.1572349680672438e-01,1.0826038995932214e+01
Random_projection,1016,8.9807032006337750e-01,1.0574771080774205e+01
Random_projection,1017,9.0609198170053984e-01,1.0481736606773532e+01
Random_projection,1018,8.7315045471158503e-01,1.0321042979146828e+01
Random_projection,1019,9.0689029213689198e-01,1.0954287026098845e+01
Random_projection,1020,8.9271876344210965e-01,1.1171621197002658e+01
Random_projection,1021,9.2718230933694890e-01,1.1012890992482564e+01
Random_projection,1022,8.8047941222570436e-01,1.0526028343433589e+01
Random_projection,1023,8.9036157250116932e-01,1.1165993574029677e+01
Random_projection,1024,8.9732561426199098e-01,1.0306805116655186e+01
Random_projection,1025,9.0494690955548662e-01,1.1268386745306923e+01
Random_projection,1026,8.9748671644721356e-01,1.0953780030543339e+01
Random_projection,1027,9.2662156900331838e-01,1.0796584751767941e+01
Random_projection,1028,8.7457191727320249e-01,9.8237669804745096e+00
Random_projection,1029,8.9581479485604487e-01,1.1201223199836889e+01
Random_blocking,1000,9.1148246855767245e-01,1.0221305296954826e+01
Random_blocking,1001,8.7109346228697593e-01,1.0851941693244259e+01
Random_blocking,1002,9.1817479267057300e-01,1.1549090881457733e+01
Random_blocking,1003,9.0076712582776763e-01,1.0794303603153656e+01
Random_blocking,1004,9.2481610860278596e-01,1.0689887755061552e+01
Random_blocking,1005,8.6687333566067248e-01,1.0837504392579804e+01
Random_blocking,1006,8.9091918553856297e-01,1.0480923788349285e+01
Random_blocking,1007,8.7094425615224258e-01,1.0712762841349900e+01
Random_blocking,1008,8.8482300662862834e-01,1.1013810284481874e+01
Random_blocking,1009,9.1807671494087051e-01,1.0751923584505761e+01
Random_blocking,1010,8.4477796327972765e-01,1.1208035147475272e+01
Random_blocking,1011,9.0682024248355353e-01,1.0821192673795732e+01
Random_blocking,1012,8.8966204713470742e-01,1.0875191087952583e+01
Random_blocking,1013,8.7102378185910168e-01,1.0745690962203403e+01
Random_blocking,1014,8.7851014673218708e-01,1.0938042235313461e+01
Random_blocking,1015,8.9025880343099661e-01,1.0562849905691968e+01
Random_blocking,1016,8.9116869794235154e-01,1.0414316697711643e+01
Random_blocking,1017,9.1526816575608616e-01,1.0210947207125361e+01
Random_blocking,1018,9.0367996129641215e-01,1.0714442755284113e+01
Random_blocking,1019,8.9570811831413988e-01,1.0656442880163764e+01
Random_blocking,1020,9.1542056312738973e-01,1.0428088187229276e+01
Random_blocking,1021,8.9136301399498941e-01,1.1165659042413266e+01
Random_blocking,1022,8.9540805787562228e-01,1.0909244921457828e+01
Random_blocking,1023,8.8311241469723711e-01,1.0781140621570966e+01
Random_blocking,1024,8.9337151008483329e-01,1.0069446639522088e+01
Random_blocking,1025,8.8668859674521072e-01,1.1079850280053542e+01
Random_blocking,1026,9.1012391733165643e-01,1.0868570077472459e+01
Random_blocking,1027,8.9129045757011949e-01,1.0653220855032430e+01
Random_blocking,1028,8.7401292258028196e-01,1.0413442706814029e+01
Random_blocking,1029,9.1992140412995349e-01,1.0925443430661856e+01
