# target_mode=random
# shifted_benchmark=sphere
method,seed,relative_mse,benchmark_value
LoRA_SVD_rank_r,,7.0558314140458556e-01,7.1484364864913030e-01
LoRA_LBFGS_best_restart,0,7.0558314140458811e-01,7.1484364864913286e-01
Random_projection,1000,8.0390004002899218e-01,8.1445091873870556e-01
Random_projection,1001,8.3537848092362399e-01,8.4634250205815686e-01
Random_projection,1002,7.7257198652005776e-01,7.8271169658152440e-01
Random_projection,1003,8.3934096868265473e-01,8.5035699594438330e-01
Random_projection,1004,7.8521621392266749e-01,7.9552187460368895e-01
Random_projection,1005,8.3591238877012841e-01,8.4688341723971561e-01
Random_projection,1006,8.0009933117667265e-01,8.1060032704509355e-01
Random_projection,1007,8.1032324085427121e-01,8.2095842160336896e-01
Random_projection,1008,7.8045035046047651e-01,7.9069346101731242e-01
Random_projection,1009,8.3068963749003166e-01,8.4159211935861944e-01
Random_projection,1010,8.0970402301132172e-01,8.2033107676448647e-01
Random_projection,1011,8.3793782553727214e-01,8.4893543708510322e-01
Random_projection,1012,8.5073373365495808e-01,8.6189928657336734e-01
Random_projection,1013,8.4022131259904120e-01,8.5124889403594339e-01
Random_projection,1014,8.1122970106743608e-01,8.2187677875805409e-01
Random_projection,1015,8.3445687820453618e-01,8.4540880365798510e-01
Random_projection,1016,7.2608911925998854e-01,7.3561875957382472e-01
Random_projection,1017,7.7499273538354929e-01,7.8516421684242066e-01
Random_projection,1018,8.0966759374280606e-01,8.2029416937583843e-01
Random_projection,1019,8.1060461170853149e-01,8.2124348534182867e-01
Random_projection,1020,7.7332272017490367e-01,7.8347228332673124e-01
Random_projection,1021,7.9575102472427439e-01,8.0619495074360037e-01
Random_projection,1022,7.7183003747306178e-01,7.8196000973876556e-01
Random_projection,1023,7.6305680129075493e-01,7.7307162820723363e-01
Random_projection,1024,7.7673689766095388e-01,7.8693127057861689e-01
Random_projection,1025,8.4260471902967771e-01,8.5366358175892154e-01
Random_projection,1026,7.7496543333593271e-01,7.8513655646593405e-01
Random_projection,1027,7.9960376011083778e-01,8.1009825179969996e-01
Random_projection,1028,7.9314466568681952e-01,8.0355438424662451e-01
Random_projection,1029,7.4048718059544727e-01,7.5020578992438625e-01
Random_blocking,1000,8.1839164563936295e-01,8.2913272109679459e-01
Random_blocking,1001,7.4674264425877024e-01,7.5654335414138307e-01
Random_blocking,1002,8.0492400272694709e-01,8.1548832055308229e-01
Random_blocking,1003,7.8509212279076102e-01,7.9539615482342274e-01
Random_blocking,1004,8.2894011880671448e-01,8.3981963891574396e-01
Random_blocking,1005,7.8566948298228201e-01,7.9598109264530725e-01
Random_blocking,1006,7.9483425613436653e-01,8.0526614991869394e-01
Random_blocking,1007,7.6955091495607719e-01,7.7965097461568078e-01
Random_blocking,1008,7.7403359717474962e-01,7.8419249031367699e-01
Random_blocking,1009,8.0651654837628040e-01,8.1710176775130106e-01
Random_blocking,1010,7.3027687574765077e-01,7.3986147875406927e-01
Random_blocking,1011,8.0141034546604040e-01,8.1192854789257185e-01
Random_blocking,1012,7.9280834770402009e-01,8.0321365221970553e-01
Random_blocking,1013,7.7395405581165244e-01,7.8411190500079408e-01
Random_blocking,1014,7.8921845552287595e-01,7.9957664408496243e-01
Random_blocking,1015,7.5296387560415035e-01,7.6284623675443541e-01
Random_blocking,1016,8.0187945729952315e-01,8.1240381663836947e-01
Random_blocking,1017,8.1738138239804714e-01,8.2810919853915421e-01
Random_blocking,1018,8.1522036552096588e-01,8.2591981914705315e-01
Random_blocking,1019,7.8349812070231428e-01,7.9378123207088735e-01
Random_blocking,1020,8.0409445992156303e-01,8.1464789031755969e-01
Random_blocking,1021,7.8205762353157282e-01,7.9232182892903835e-01
Random_blocking,1022,7.6659494953453622e-01,7.7665621328534540e-01
Random_blocking,1023,8.3681436174410073e-01,8.4779722826192028e-01
Random_blocking,1024,7.9616435137846475e-01,8.0661370215109174e-01
Random_blocking,1025,8.0152723431216455e-01,8.1204697085982613e-01
Random_blocking,1026,8.2385824828990240e-01,8.3467107080374403e-01
Random_blocking,1027,8.3673072227589873e-01,8.4771249105788005e-01
Random_blocking,1028,7.7994678847208809e-01,7.9018328997158138e-01
Random_blocking,1029,8.4746126330865601e-01,8.5858386631291461e-01
