# target_mode=random
# benchmark=sphere
target_mode,lora_rank,search_dim,method,seed,is_best,relative_mse,benchmark_value
random,1,40,LoRA_SVD,,1,8.3554569500967768e-01,8.4651191076475130e-01
random,1,40,LoRA_LBFGS,2,1,8.3554569500967923e-01,8.4651191076475285e-01
random,1,40,Random_projection,11000,0,9.2114822777782834e-01,9.3323794383829872e-01
random,1,40,Random_projection,11001,0,8.7596024085329094e-01,8.8745688197230510e-01
random,1,40,Random_projection,11002,0,8.7883783525095982e-01,8.9037224368923473e-01
random,1,40,Random_projection,11003,0,8.8408112335483868e-01,8.9568434793202334e-01
random,1,40,Random_projection,11004,0,9.0325798240330102e-01,9.1511289587683931e-01
random,1,40,Random_projection,11005,0,9.2625217687539108e-01,9.3840888030392644e-01
random,1,40,Random_projection,11006,0,9.2424119947265826e-01,9.3637150959654425e-01
random,1,40,Random_projection,11007,0,9.2514937666266250e-01,9.3729160626272900e-01
random,1,40,Random_projection,11008,0,8.6877451401311401e-01,8.8017684523219442e-01
random,1,40,Random_projection,11009,0,8.9953171068207038e-01,9.1133771827302068e-01
random,1,40,Random_projection,11010,0,8.8306413580530374e-01,8.9465401281220580e-01
random,1,40,Random_projection,11011,0,9.4896688595473211e-01,9.6142171120002218e-01
random,1,40,Random_projection,11012,0,9.4190981329781576e-01,9.5427201717982524e-01
random,1,40,Random_projection,11013,0,8.7750582490607054e-01,8.8902275122108476e-01
random,1,40,Random_projection,11014,0,9.1288010141859000e-01,9.2486130150191259e-01
random,1,40,Random_projection,11015,0,9.2347549399476325e-01,9.3559575452887145e-01
random,1,40,Random_projection,11016,0,8.9551093166778040e-01,9.0726416808123844e-01
random,1,40,Random_projection,11017,0,9.0889932280290031e-01,9.2082827669857137e-01
random,1,40,Random_projection,11018,0,8.9255974469615007e-01,9.0427424791613020e-01
random,1,40,Random_projection,11019,0,8.9811446442775500e-01,9.0990187120692956e-01
random,1,40,Random_projection,11020,0,9.2205567916221487e-01,9.3415730517294637e-01
random,1,40,Random_projection,11021,0,9.1024121746061049e-01,9.2218778320734485e-01
random,1,40,Random_projection,11022,0,9.0948457699171914e-01,9.2142121212343098e-01
random,1,40,Random_projection,11023,0,8.9511050262317593e-01,9.0685848355949616e-01
random,1,40,Random_projection,11024,0,9.1362816504720612e-01,9.2561918317782277e-01
random,1,40,Random_projection,11025,0,8.9414520536141728e-01,9.0588051714259321e-01
random,1,40,Random_projection,11026,0,8.8271529292872275e-01,8.9430059150709351e-01
random,1,40,Random_projection,11027,1,8.6564117294390031e-01,8.7700238026705923e-01
random,1,40,Random_projection,11028,0,8.9024315897446782e-01,9.0192725789820083e-01
random,1,40,Random_projection,11029,0,9.0904988817597721e-01,9.2098081818423705e-01
random,1,40,Random_blocking,11000,0,8.9225539762435446e-01,9.0396590640612062e-01
random,1,40,Random_blocking,11001,0,8.6315993779003564e-01,8.7448857985650197e-01
random,1,40,Random_blocking,11002,0,8.9576702043945966e-01,9.0752361791951097e-01
random,1,40,Random_blocking,11003,0,8.8824673018903388e-01,8.9990462675312155e-01
random,1,40,Random_blocking,11004,0,8.9287796157030297e-01,9.0459664126431649e-01
random,1,40,Random_blocking,11005,0,8.7434859751812366e-01,8.8582408643847377e-01
random,1,40,Random_blocking,11006,0,8.8313308381124100e-01,8.9472386573419183e-01
random,1,40,Random_blocking,11007,0,9.0225240573495524e-01,9.1409412140163593e-01
random,1,40,Random_blocking,11008,0,8.7348605769140575e-01,8.8495022610840868e-01
random,1,40,Random_blocking,11009,0,8.9516799487502985e-01,9.0691673037503451e-01
random,1,40,Random_blocking,11010,0,8.9342467186665675e-01,9.0515052692295284e-01
random,1,40,Random_blocking,11011,0,9.0983212371634870e-01,9.2177332026509617e-01
random,1,40,Random_blocking,11012,1,8.4261708802453472e-01,8.5367611309207692e-01
random,1,40,Random_blocking,11013,0,8.6446338094492259e-01,8.7580913020127260e-01
random,1,40,Random_blocking,11014,0,9.0739886833231143e-01,9.1930812934038419e-01
random,1,40,Random_blocking,11015,0,8.7362642564453019e-01,8.8509243633690859e-01
random,1,40,Random_blocking,11016,0,8.8271267116659646e-01,8.9429793533534807e-01
random,1,40,Random_blocking,11017,0,8.9598990168246651e-01,9.0774942439307471e-01
random,1,40,Random_blocking,11018,0,8.8492190139812599e-01,8.9653616086362353e-01
random,1,40,Random_blocking,11019,0,8.6239017549943764e-01,8.7370871473202039e-01
random,1,40,Random_blocking,11020,0,9.1176975880794420e-01,9.2373638607172726e-01
random,1,40,Random_blocking,11021,0,8.6510286221287380e-01,8.7645700441481311e-01
random,1,40,Random_blocking,11022,0,9.4157731309008230e-01,9.5393515303480103e-01
random,1,40,Random_blocking,11023,0,9.0520904703612393e-01,9.1708956748225912e-01
random,1,40,Random_blocking,11024,0,8.7111258818505211e-01,8.8254560572802121e-01
random,1,40,Random_blocking,11025,0,8.6167258153519988e-01,8.7298170262310970e-01
random,1,40,Random_blocking,11026,0,8.7615737228285340e-01,8.8765660067603047e-01
random,1,40,Random_blocking,11027,0,9.1532128520321576e-01,9.2733452488442014e-01
random,1,40,Random_blocking,11028,0,9.3214576522510750e-01,9.4437981973306395e-01
random,1,40,Random_blocking,11029,0,8.7622254307945802e-01,8.8772262681426484e-01
random,2,80,LoRA_SVD,,1,7.0558314140458556e-01,7.1484364864913030e-01
random,2,80,LoRA_LBFGS,4,1,7.0558314140459055e-01,7.1484364864913541e-01
random,2,80,Random_projection,21000,0,8.1376734570590470e-01,8.2444772900599606e-01
random,2,80,Random_projection,21001,0,8.1283876866993732e-01,8.2350696475371910e-01
random,2,80,Random_projection,21002,0,8.4068205350350356e-01,8.5171568198749814e-01
random,2,80,Random_projection,21003,0,8.3793950163594333e-01,8.4893713518192460e-01
random,2,80,Random_projection,21004,0,7.6824696010941251e-01,7.7832990586337469e-01
random,2,80,Random_projection,21005,0,8.1632397789967714e-01,8.2703791601359944e-01
random,2,80,Random_projection,21006,0,8.2240338258552770e-01,8.3319711054678636e-01
random,2,80,Random_projection,21007,0,8.1320230561892393e-01,8.2387527298528340e-01
random,2,80,Random_projection,21008,0,8.2280440727427751e-01,8.3360339853027421e-01
random,2,80,Random_projection,21009,0,8.1444866305857111e-01,8.2513798838676644e-01
random,2,80,Random_projection,21010,0,8.1691249034001701e-01,8.2763415245327754e-01
random,2,80,Random_projection,21011,0,7.9611978738510580e-01,8.0656855327246679e-01
random,2,80,Random_projection,21012,0,8.6666686599011988e-01,8.7804153513985572e-01
random,2,80,Random_projection,21013,0,8.0386132055077020e-01,8.1441169108222988e-01
random,2,80,Random_projection,21014,0,8.2613649329453431e-01,8.3697921689746413e-01
random,2,80,Random_projection,21015,0,7.4572903616183184e-01,7.5551644282817709e-01
random,2,80,Random_projection,21016,0,8.0024363668252085e-01,8.1074652650518175e-01
random,2,80,Random_projection,21017,0,7.6535729521336493e-01,7.7540231522741943e-01
random,2,80,Random_projection,21018,0,8.1299381037299789e-01,8.2366404131947701e-01
random,2,80,Random_projection,21019,0,7.8507507395357379e-01,7.9537888222680719e-01
random,2,80,Random_projection,21020,0,7.8906718376732998e-01,7.9942338694582959e-01
