# target_mode=low_rank
# benchmark=rastrigin
target_mode,lora_rank,search_dim,method,seed,is_best,relative_mse,benchmark_value
low_rank,1,40,LoRA_SVD,,1,2.1106771576598779e-01,8.0993077606077115e+00
low_rank,1,40,LoRA_LBFGS,4,1,2.1106771576598776e-01,8.0993077616366751e+00
low_rank,1,40,Random_projection,11000,0,9.1070131160783463e-01,1.0970102171021452e+01
low_rank,1,40,Random_projection,11001,1,8.5212544906997767e-01,1.0816727134298535e+01
low_rank,1,40,Random_projection,11002,0,9.1268207518458011e-01,1.1107170236810461e+01
low_rank,1,40,Random_projection,11003,0,8.8788005558035610e-01,1.1321789678860224e+01
low_rank,1,40,Random_projection,11004,0,9.0860863786186818e-01,1.0673457763526166e+01
low_rank,1,40,Random_projection,11005,0,9.2504642828804062e-01,1.0302710511375032e+01
low_rank,1,40,Random_projection,11006,0,8.9960799448120610e-01,1.0780370613958958e+01
low_rank,1,40,Random_projection,11007,0,9.2654697866532254e-01,1.0230250351921178e+01
low_rank,1,40,Random_projection,11008,0,9.0785826733394626e-01,1.0716408948880030e+01
low_rank,1,40,Random_projection,11009,0,9.0270050672352531e-01,1.0970537045181352e+01
low_rank,1,40,Random_projection,11010,0,8.8670589498839658e-01,1.0882137558963505e+01
low_rank,1,40,Random_projection,11011,0,9.1682117983124289e-01,1.1235141073357092e+01
low_rank,1,40,Random_projection,11012,0,9.1084462012118139e-01,1.1756847078294998e+01
low_rank,1,40,Random_projection,11013,0,9.0260867011277168e-01,1.0496376286734336e+01
low_rank,1,40,Random_projection,11014,0,8.8551755502013274e-01,1.0455651135749035e+01
low_rank,1,40,Random_projection,11015,0,8.8437753874931413e-01,1.1338818976714295e+01
low_rank,1,40,Random_projection,11016,0,9.0848341323970827e-01,1.0837313663247119e+01
low_rank,1,40,Random_projection,11017,0,8.9186738744103566e-01,1.0385609241632491e+01
low_rank,1,40,Random_projection,11018,0,9.1766161216739506e-01,1.0530861018261415e+01
low_rank,1,40,Random_projection,11019,0,8.9139161784467558e-01,1.0786148861426733e+01
low_rank,1,40,Random_projection,11020,0,9.1497293299699234e-01,1.0545362326613763e+01
low_rank,1,40,Random_projection,11021,0,8.9065811449618526e-01,1.0708988949171026e+01
low_rank,1,40,Random_projection,11022,0,8.8968378261365888e-01,1.0401084984180594e+01
low_rank,1,40,Random_projection,11023,0,9.2690094530615197e-01,1.0997720518701922e+01
low_rank,1,40,Random_projection,11024,0,8.9142371517848007e-01,1.1002304544071492e+01
low_rank,1,40,Random_projection,11025,0,8.5371298807653928e-01,1.1059396994810442e+01
low_rank,1,40,Random_projection,11026,0,8.8444174359637240e-01,1.0985980240067731e+01
low_rank,1,40,Random_projection,11027,0,9.2295402950028937e-01,1.0576008193944055e+01
low_rank,1,40,Random_projection,11028,0,9.0844118787146766e-01,1.1184627237057750e+01
low_rank,1,40,Random_projection,11029,0,8.7184161447574859e-01,1.0546914511852117e+01
low_rank,1,40,Random_blocking,11000,0,9.0731708794034882e-01,1.0265615928238086e+01
low_rank,1,40,Random_blocking,11001,0,9.0773291465723638e-01,1.0326431148970201e+01
low_rank,1,40,Random_blocking,11002,0,9.1256005204086466e-01,1.0499755492758597e+01
low_rank,1,40,Random_blocking,11003,1,8.4827598123479542e-01,1.1107219245016070e+01
low_rank,1,40,Random_blocking,11004,0,8.8431172440054462e-01,1.0896610721864901e+01
low_rank,1,40,Random_blocking,11005,0,8.8423322512679992e-01,1.0232754846896844e+01
low_rank,1,40,Random_blocking,11006,0,8.8537593881765064e-01,1.0794769440706409e+01
low_rank,1,40,Random_blocking,11007,0,9.0954345546844506e-01,1.0902627145754064e+01
low_rank,1,40,Random_blocking,11008,0,9.1078000549234972e-01,1.0587843320328254e+01
low_rank,1,40,Random_blocking,11009,0,9.2195970313331721e-01,1.1129271060345694e+01
low_rank,1,40,Random_blocking,11010,0,8.7574572380296056e-01,1.1319173655983409e+01
low_rank,1,40,Random_blocking,11011,0,9.2700973714170731e-01,1.0997355569730365e+01
low_rank,1,40,Random_blocking,11012,0,8.9604459531808089e-01,1.0995734794441560e+01
low_rank,1,40,Random_blocking,11013,0,8.6877384292767024e-01,1.0887521841263526e+01
low_rank,1,40,Random_blocking,11014,0,9.2003874461245261e-01,1.0864738016145383e+01
low_rank,1,40,Random_blocking,11015,0,8.9033582478626616e-01,1.0365593869826741e+01
low_rank,1,40,Random_blocking,11016,0,8.5488038586876414e-01,1.0847540544703827e+01
low_rank,1,40,Random_blocking,11017,0,9.4533980169331366e-01,1.0433804573377406e+01
low_rank,1,40,Random_blocking,11018,0,8.8018952297419339e-01,1.0757814960153915e+01
low_rank,1,40,Random_blocking,11019,0,9.2889976020690801e-01,1.1587699110960983e+01
low_rank,1,40,Random_blocking,11020,0,8.8553504758554613e-01,1.0655831834983843e+01
low_rank,1,40,Random_blocking,11021,0,8.9327693916544804e-01,1.0987246770884049e+01
low_rank,1,40,Random_blocking,11022,0,9.0269068387345708e-01,1.0866166176002523e+01
low_rank,1,40,Random_blocking,11023,0,8.8095443280495744e-01,1.0577389244014844e+01
low_rank,1,40,Random_blocking,11024,0,8.9262316818731258e-01,1.0785688950910286e+01
low_rank,1,40,Random_blocking,11025,0,9.0417714794591841e-01,1.0622455219917804e+01
low_rank,1,40,Random_blocking,11026,0,8.7642594331294144e-01,1.1208633684480311e+01
low_rank,1,40,Random_blocking,11027,0,9.1307789293553987e-01,1.1052535943353423e+01
low_rank,1,40,Random_blocking,11028,0,9.0361054783906680e-01,1.0808494942035113e+01
low_rank,1,40,Random_blocking,11029,0,8.8619566661927951e-01,1.1154993073809699e+01
low_rank,2,80,LoRA_SVD,,1,2.2121600502269953e-31,0.0000000000000000e+00
low_rank,2,80,LoRA_LBFGS,3,1,5.3815686887513946e-17,8.8817841970012523e-15
low_rank,2,80,Random_projection,21000,0,7.8289237591866279e-01,1.1005808489764364e+01
low_rank,2,80,Random_projection,21001,0,8.0309371761953285e-01,1.0937395787816019e+01
low_rank,2,80,Random_projection,21002,0,7.7830542062569741e-01,1.0524254145770795e+01
low_rank,2,80,Random_projection,21003,0,8.1822557141252084e-01,1.1204369606565844e+01
low_rank,2,80,Random_projection,21004,0,8.1268163757042766e-01,1.0765127780566555e+01
low_rank,2,80,Random_projection,21005,0,8.2409131313871720e-01,1.0584647107712257e+01
low_rank,2,80,Random_projection,21006,0,7.7204760629886671e-01,1.0805602586666650e+01
low_rank,2,80,Random_projection,21007,0,7.9168120168107481e-01,1.0898248651078733e+01
low_rank,2,80,Random_projection,21008,0,8.3174160089273019e-01,1.0784792285034458e+01
low_rank,2,80,Random_projection,21009,0,7.8317982913188189e-01,1.0769900410892355e+01
low_rank,2,80,Random_projection,21010,0,7.7600630696667017e-01,1.0381399685051031e+01
low_rank,2,80,Random_projection,21011,1,7.5936367627208134e-01,1.0826923931767261e+01
low_rank,2,80,Random_projection,21012,0,7.9360617645130582e-01,1.0707074017377719e+01
low_rank,2,80,Random_projection,21013,0,7.9022736792877035e-01,1.1021460737697144e+01
low_rank,2,80,Random_projection,21014,0,8.0506503416020803e-01,1.1350777782962947e+01
low_rank,2,80,Random_projection,21015,0,8.5912421304746633e-01,1.0609954427696984e+01
low_rank,2,80,Random_projection,21016,0,7.9912736602473833e-01,1.0702408881328386e+01
low_rank,2,80,Random_projection,21017,0,8.4444474159517846e-01,1.0762653911903273e+01
low_rank,2,80,Random_projection,21018,0,8.2358032080575672e-01,1.0789808345341985e+01
low_rank,2,80,Random_projection,21019,0,7.8380440754768821e-01,1.0331786277162520e+01
low_rank,2,80,Random_projection,21020,0,7.6431434092931549e-01,1.0969764402773313e+01
low_rank,2,80,Random_projection,21021,0,7.7082408948049919e-01,1.0409554433630746e+01
low_rank,2,80,Random_projection,21022,0,8.0218885752660152e-01,1.0377249212886545e+01
low_rank,2,80,Random_projection,21023,0,8.1448703574326065e-01,1.0646923513305389e+01
low_rank,2,80,Random_projection,21024,0,8.1839950431484687e-01,1.0532452750567126e+01
low_rank,2,80,Random_projection,21025,0,7.8070442165771992e-01,1.0608137247309894e+01
low_rank,2,80,Random_projection,21026,0,7.9154370898140847e-01,1.0963467427915125e+01
low_rank,2,80,Random_projection,21027,0,7.8030585402733788e-01,1.0725698262947937e+01
low_rank,2,80,Random_projection,21028,0,8.0859441785650810e-01,1.1163001929005148e+01
low_rank,2,80,Random_projection,21029,0,8.3023579651900148e-01,1.0798151634720314e+01
low_rank,2,80,Random_blocking,21000,0,7.7801958106219526e-01,1.0653379159765576e+01
low_rank,2,80,Random_blocking,21001,0,8.0993992525210956e-01,1.0559148605089590e+01
low_rank,2,80,Random_blocking,21002,0,8.2148048739629465e-01,1.0656662620150994e+01
low_rank,2,80,Random_blocking,21003,0,7.7169787885239083e-01,1.0261076236392208e+01
low_rank,2,80,Random_blocking,21004,0,7.9810721355154335e-01,1.0330614390118797e+01
low_rank,2,80,Random_blocking,21005,0,8.0219887867864170e-01,1.0983641265236292e+01
low_rank,2,80,Random_blocking,21006,0,8.0245052550485707e-01,1.1091920695787067e+01
low_rank,2,80,Random_blocking,21007,0,7.8904992662433249e-01,1.0516359586425223e+01
low_rank,2,80,Random_blocking,21008,0,7.5312119522677556e-01,1.0355671625871929e+01
low_rank,2,80,Random_blocking,21009,0,8.4844046736375434e-01,1.0420236478468480e+01
low_rank,2,80,Random_blocking,21010,0,7.8793483401633346e-01,1.0406003657493422e+01
low_rank,2,80,Random_blocking,21011,0,8.1734753009641181e-01,1.0896886980068331e+01
low_rank,2,80,Random_blocking,21012,0,8.2314823340031107e-01,1.0405934108308074e+01
low_rank,2,80,Random_blocking,21013,0,7.6780051180084308e-01,1.0040837026663855e+01
low_rank,2,80,Random_blocking,21014,0,7.5687093824975471e-01,1.0107385420641176e+01
low_rank,2,80,Random_blocking,21015,0,7.8413814954345695e-01,1.0712213541949392e+01
low_rank,2,80,Random_blocking,21016,0,7.9311122679967450e-01,1.0081744182195097e+01
low_rank,2,80,Random_blocking,21017,0,8.0052820827961890e-01,1.0943364093171603e+01
low_rank,2,80,Random_blocking,21018,0,8.4677534072496308e-01,1.0993500971866844e+01
low_rank,2,80,Random_blocking,21019,0,8.2589539785896104e-01,1.0619388888678948e+01
low_rank,2,80,Random_blocking,21020,0,8.4321489260810178e-01,1.0467571074668882e+01
low_rank,2,80,Random_blocking,21021,0,7.9174780144042667e-01,1.0390114485229454e+01
low_rank,2,80,Random_blocking,21022,0,8.0462530324137294e-01,1.0740245636924142e+01
low_rank,2,80,Random_blocking,21023,0,8.0000941533041126e-01,1.0444182737728154e+01
low_rank,2,80,Random_blocking,21024,0,7.9391810494232351e-01,1.0835804155790902e+01
low_rank,2,80,Random_blocking,21025,0,7.6756289961703883e-01,1.0755697525480530e+01
low_rank,2,80,Random_blocking,21026,0,7.9673886259083826e-01,1.0846112775213147e+01
low_rank,2,80,Random_blocking,21027,0,8.3854360311411691e-01,1.0541424099560633e+01
low_rank,2,80,Random_blocking,21028,1,7.5046098373913395e-01,1.0716914420198734e+01
low_rank,2,80,Random_blocking,21029,0,8.4115752605987315e-01,1.1046077882774453e+01
low_rank,4,160,LoRA_SVD,,1,2.2534931810502407e-31,0.0000000000000000e+00
