# target_mode=low_rank
# benchmark=sphere
target_mode,lora_rank,search_dim,method,seed,is_best,relative_mse,benchmark_value
low_rank,1,40,LoRA_SVD,,1,2.1106771576598779e-01,2.1195618828072649e-01
low_rank,1,40,LoRA_LBFGS,4,1,2.1106771576598776e-01,2.1195618828072646e-01
low_rank,1,40,Random_projection,11000,0,9.1070131160783463e-01,9.1453483527848989e-01
low_rank,1,40,Random_projection,11001,1,8.5212544906997767e-01,8.5571240237479973e-01
low_rank,1,40,Random_projection,11002,0,9.1268207518458011e-01,9.1652393671964882e-01
low_rank,1,40,Random_projection,11003,0,8.8788005558035610e-01,8.9161751501561359e-01
low_rank,1,40,Random_projection,11004,0,9.0860863786186818e-01,9.1243335259128455e-01
low_rank,1,40,Random_projection,11005,0,9.2504642828804062e-01,9.2894033656960062e-01
low_rank,1,40,Random_projection,11006,0,8.9960799448120610e-01,9.0339482172873231e-01
low_rank,1,40,Random_projection,11007,0,9.2654697866532254e-01,9.3044720339258991e-01
low_rank,1,40,Random_projection,11008,0,9.0785826733394626e-01,9.1167982343918597e-01
low_rank,1,40,Random_projection,11009,0,9.0270050672352531e-01,9.0650035165174614e-01
low_rank,1,40,Random_projection,11010,0,8.8670589498839658e-01,8.9043841188940587e-01
low_rank,1,40,Random_projection,11011,0,9.1682117983124289e-01,9.2068046459326436e-01
low_rank,1,40,Random_projection,11012,0,9.1084462012118139e-01,9.1467874703745755e-01
low_rank,1,40,Random_projection,11013,0,9.0260867011277168e-01,9.0640812846219143e-01
low_rank,1,40,Random_projection,11014,0,8.8551755502013274e-01,8.8924506969995376e-01
low_rank,1,40,Random_projection,11015,0,8.8437753874931413e-01,8.8810025462265119e-01
low_rank,1,40,Random_projection,11016,0,9.0848341323970827e-01,9.1230760084618423e-01
low_rank,1,40,Random_projection,11017,0,8.9186738744103566e-01,8.9562163122795235e-01
low_rank,1,40,Random_projection,11018,0,9.1766161216739506e-01,9.2152443466150624e-01
low_rank,1,40,Random_projection,11019,0,8.9139161784467558e-01,8.9514385891787474e-01
low_rank,1,40,Random_projection,11020,0,9.1497293299699234e-01,9.1882443771313271e-01
low_rank,1,40,Random_projection,11021,0,8.9065811449618526e-01,8.9440726794623826e-01
low_rank,1,40,Random_projection,11022,0,8.8968378261365888e-01,8.9342883469228840e-01
low_rank,1,40,Random_projection,11023,0,9.2690094530615197e-01,9.3080266002742607e-01
low_rank,1,40,Random_projection,11024,0,8.9142371517848007e-01,8.9517609136281540e-01
low_rank,1,40,Random_projection,11025,0,8.5371298807653928e-01,8.5730662399868296e-01
low_rank,1,40,Random_projection,11026,0,8.8444174359637240e-01,8.8816472973483129e-01
low_rank,1,40,Random_projection,11027,0,9.2295402950028937e-01,9.2683912999802487e-01
low_rank,1,40,Random_projection,11028,0,9.0844118787146766e-01,9.1226519773366388e-01
low_rank,1,40,Random_projection,11029,0,8.7184161447574859e-01,8.7551156138760089e-01
low_rank,1,40,Random_blocking,11000,0,9.0731708794034882e-01,9.1113636599460845e-01
low_rank,1,40,Random_blocking,11001,0,9.0773291465723638e-01,9.1155394310050042e-01
low_rank,1,40,Random_blocking,11002,0,9.1256005204086466e-01,9.1640139992935810e-01
low_rank,1,40,Random_blocking,11003,1,8.4827598123479542e-01,8.5184673051544679e-01
low_rank,1,40,Random_blocking,11004,0,8.8431172440054462e-01,8.8803416323369222e-01
low_rank,1,40,Random_blocking,11005,0,8.8423322512679992e-01,8.8795533352359013e-01
low_rank,1,40,Random_blocking,11006,0,8.8537593881765064e-01,8.8910285737549688e-01
low_rank,1,40,Random_blocking,11007,0,9.0954345546844506e-01,9.1337210523712942e-01
low_rank,1,40,Random_blocking,11008,0,9.1078000549234972e-01,9.1461386041856063e-01
low_rank,1,40,Random_blocking,11009,0,9.2195970313331721e-01,9.2584061809446072e-01
low_rank,1,40,Random_blocking,11010,0,8.7574572380296056e-01,8.7943210474793432e-01
