# target_mode=low_rank
# shifted_benchmark=rastrigin
lora_rank,search_dim,method,seed,relative_mse,benchmark_value
1,40,LoRA_SVD,,2.1106771576598779e-01,8.0993077606077115e+00
1,40,LoRA_LBFGS,4,2.1106771576598776e-01,8.0993077616366751e+00
1,40,Best_RP,11001,8.5212544906997767e-01,1.0816727134298535e+01
1,40,Best_RB,11003,8.4827598123479542e-01,1.1107219245016070e+01
2,80,LoRA_SVD,,2.2121600502269953e-31,0.0000000000000000e+00
2,80,LoRA_LBFGS,3,5.3815686887513946e-17,8.8817841970012523e-15
2,80,Best_RP,21011,7.5936367627208134e-01,1.0826923931767261e+01
2,80,Best_RB,21028,7.5046098373913395e-01,1.0716914420198734e+01
4,160,LoRA_SVD,,2.2534931810502407e-31,0.0000000000000000e+00
4,160,LoRA_LBFGS,1,2.1975239230099846e-14,4.3787196091216174e-12
4,160,Best_RP,41014,5.2598777885990866e-01,1.0166706431675699e+01
4,160,Best_RB,41029,5.6763750068484142e-01,9.8846337747461401e+00
