# target_mode=low_rank
# shifted_benchmark=sphere
method,seed,relative_mse,benchmark_value
LoRA_SVD_rank_r,,2.2121600502269953e-31,2.2214719594201982e-31
LoRA_LBFGS_best_restart,2,2.8111357915503680e-18,2.8229690407847506e-18
Random_projection,1000,7.3602197716378059e-01,7.3912020227405117e-01
Random_projection,1001,7.4870026775374909e-01,7.5185186110502333e-01
Random_projection,1002,8.1416272884206409e-01,8.1758988113996844e-01
Random_projection,1003,8.0177367365019159e-01,8.0514867522015721e-01
Random_projection,1004,7.6236189054515302e-01,7.6557099139497031e-01
Random_projection,1005,7.5798036555805515e-01,7.6117102273206172e-01
Random_projection,1006,7.6501632847778001e-01,7.6823660296984120e-01
Random_projection,1007,8.1553095004054033e-01,8.1896386175515379e-01
Random_projection,1008,7.8650591601350417e-01,7.8981664918992289e-01
Random_projection,1009,8.3124879732414181e-01,8.3474787204834511e-01
Random_projection,1010,8.1442138217634596e-01,8.1784962325458566e-01
Random_projection,1011,7.8523569351673972e-01,7.8854107979407506e-01
Random_projection,1012,8.3433100329603671e-01,8.3784305231752110e-01
Random_projection,1013,8.1298340554269022e-01,8.1640559357434628e-01
Random_projection,1014,7.9389906052946879e-01,7.9724091455104429e-01
Random_projection,1015,8.2592633843220764e-01,8.2940300869526851e-01
Random_projection,1016,7.8159681433645278e-01,7.8488688304556409e-01
Random_projection,1017,8.3748270225832844e-01,8.4100801810222847e-01
Random_projection,1018,8.4856519472093983e-01,8.5213716142241935e-01
Random_projection,1019,8.6725177259975805e-01,8.7090239894266874e-01
Random_projection,1020,8.0440200435901699e-01,8.0778806967497507e-01
Random_projection,1021,7.5487802784279845e-01,7.5805562597657494e-01
Random_projection,1022,8.3334300694013974e-01,8.3685089707070293e-01
Random_projection,1023,7.6767491441785451e-01,7.7090638001286227e-01
Random_projection,1024,8.0228361298325046e-01,8.0566076110168272e-01
Random_projection,1025,8.2239490125100345e-01,8.2585670621426399e-01
Random_projection,1026,8.3659132691175353e-01,8.4011289058307304e-01
Random_projection,1027,8.2893476101445573e-01,8.3242409498957382e-01
Random_projection,1028,8.0261771742514609e-01,8.0599627192926160e-01
Random_projection,1029,7.9882883235680291e-01,8.0219143785501534e-01
Random_blocking,1000,7.8466180201098013e-01,7.8796477253833941e-01
Random_blocking,1001,8.1627140235721451e-01,8.1970743094609488e-01
Random_blocking,1002,8.5103471193144853e-01,8.5461707386631669e-01
Random_blocking,1003,7.9081866329788464e-01,7.9414755063592535e-01
Random_blocking,1004,7.6777555220002103e-01,7.7100744142165056e-01
Random_blocking,1005,7.8520682068006176e-01,7.8851208541952134e-01
Random_blocking,1006,8.3433343021788209e-01,8.3784548945529824e-01
Random_blocking,1007,7.8719219358484438e-01,7.9050581559131183e-01
Random_blocking,1008,8.0598189561972355e-01,8.0937461136043420e-01
Random_blocking,1009,8.4539186029198599e-01,8.4895046909829919e-01
Random_blocking,1010,7.7356954617305285e-01,7.7682582474469219e-01
Random_blocking,1011,8.1079829679114523e-01,8.1421128678386667e-01
Random_blocking,1012,7.9582497124655427e-01,7.9917493223385760e-01
Random_blocking,1013,7.9942716555278348e-01,8.0279228968629424e-01
Random_blocking,1014,7.9790872120124146e-01,8.0126745356580442e-01
Random_blocking,1015,7.8615384061203641e-01,7.8946309175546792e-01
Random_blocking,1016,7.7579937468936577e-01,7.7906503954418027e-01
Random_blocking,1017,7.9705195309622867e-01,8.0040707896460139e-01
Random_blocking,1018,8.5706145165652414e-01,8.6066918266586112e-01
Random_blocking,1019,8.3112472447510932e-01,8.3462327692466831e-01
Random_blocking,1020,8.2428549214905711e-01,8.2775525540211792e-01
Random_blocking,1021,7.9281819835852141e-01,7.9615550257802215e-01
Random_blocking,1022,7.4147632295911126e-01,7.4459750769779998e-01
Random_blocking,1023,8.2692794408555714e-01,8.3040883052677861e-01
Random_blocking,1024,7.8081997442339135e-01,7.8410677308758547e-01
Random_blocking,1025,8.3679355711887349e-01,8.4031597206192832e-01
Random_blocking,1026,8.1311220989617461e-01,8.1653494011936123e-01
Random_blocking,1027,8.0685320574071617e-01,8.1024958919105983e-01
Random_blocking,1028,8.2159182224000060e-01,8.2505024670697891e-01
Random_blocking,1029,8.4004191534076633e-01,8.4357800398558880e-01
