# target_mode=random
# benchmark=rastrigin
target_mode,lora_rank,search_dim,method,seed,is_best,relative_mse,benchmark_value
random,1,40,LoRA_SVD,,1,8.3554569500967768e-01,1.1141537096727447e+01
random,1,40,LoRA_LBFGS,2,1,8.3554569500967923e-01,1.1141536913366997e+01
random,1,40,Random_projection,11000,0,9.2114822777782834e-01,1.1109206817373746e+01
random,1,40,Random_projection,11001,0,8.7596024085329094e-01,1.0154020850882418e+01
random,1,40,Random_projection,11002,0,8.7883783525095982e-01,1.0021375648416187e+01
random,1,40,Random_projection,11003,0,8.8408112335483868e-01,1.0307421885275616e+01
random,1,40,Random_projection,11004,0,9.0325798240330102e-01,1.1489634057941188e+01
random,1,40,Random_projection,11005,0,9.2625217687539108e-01,1.0739199222326365e+01
random,1,40,Random_projection,11006,0,9.2424119947265826e-01,1.0421648231739582e+01
random,1,40,Random_projection,11007,0,9.2514937666266250e-01,1.0479013833313459e+01
random,1,40,Random_projection,11008,0,8.6877451401311401e-01,1.1165831525990251e+01
random,1,40,Random_projection,11009,0,8.9953171068207038e-01,1.0589334803702625e+01
random,1,40,Random_projection,11010,0,8.8306413580530374e-01,1.0909120406365506e+01
random,1,40,Random_projection,11011,0,9.4896688595473211e-01,1.1180701560109009e+01
random,1,40,Random_projection,11012,0,9.4190981329781576e-01,1.0704249498516036e+01
random,1,40,Random_projection,11013,0,8.7750582490607054e-01,1.0270589584941773e+01
random,1,40,Random_projection,11014,0,9.1288010141859000e-01,1.0888194390814322e+01
random,1,40,Random_projection,11015,0,9.2347549399476325e-01,1.0668840422174849e+01
random,1,40,Random_projection,11016,0,8.9551093166778040e-01,1.0607369355228322e+01
random,1,40,Random_projection,11017,0,9.0889932280290031e-01,1.1234937514238073e+01
random,1,40,Random_projection,11018,0,8.9255974469615007e-01,1.0879420123677340e+01
random,1,40,Random_projection,11019,0,8.9811446442775500e-01,1.1176292522904040e+01
random,1,40,Random_projection,11020,0,9.2205567916221487e-01,1.0650726109805273e+01
random,1,40,Random_projection,11021,0,9.1024121746061049e-01,1.0206328794522090e+01
random,1,40,Random_projection,11022,0,9.0948457699171914e-01,1.0251270362359163e+01
random,1,40,Random_projection,11023,0,8.9511050262317593e-01,1.0655313406251379e+01
random,1,40,Random_projection,11024,0,9.1362816504720612e-01,1.1161086444343731e+01
random,1,40,Random_projection,11025,0,8.9414520536141728e-01,1.0610525683943326e+01
random,1,40,Random_projection,11026,0,8.8271529292872275e-01,1.0480048245900013e+01
random,1,40,Random_projection,11027,1,8.6564117294390031e-01,1.0960877422312272e+01
random,1,40,Random_projection,11028,0,8.9024315897446782e-01,1.1246520759599468e+01
random,1,40,Random_projection,11029,0,9.0904988817597721e-01,1.1166133601136210e+01
random,1,40,Random_blocking,11000,0,8.9225539762435446e-01,1.1519019739595965e+01
random,1,40,Random_blocking,11001,0,8.6315993779003564e-01,1.0869163058083213e+01
random,1,40,Random_blocking,11002,0,8.9576702043945966e-01,1.0830088648470705e+01
random,1,40,Random_blocking,11003,0,8.8824673018903388e-01,1.0770114933959645e+01
random,1,40,Random_blocking,11004,0,8.9287796157030297e-01,1.0721091585719961e+01
random,1,40,Random_blocking,11005,0,8.7434859751812366e-01,1.0530298843512048e+01
random,1,40,Random_blocking,11006,0,8.8313308381124100e-01,1.0745674097365198e+01
random,1,40,Random_blocking,11007,0,9.0225240573495524e-01,1.0613126435109232e+01
random,1,40,Random_blocking,11008,0,8.7348605769140575e-01,1.0777874279803664e+01
random,1,40,Random_blocking,11009,0,8.9516799487502985e-01,1.0671873981324987e+01
random,1,40,Random_blocking,11010,0,8.9342467186665675e-01,1.0448398757719234e+01
random,1,40,Random_blocking,11011,0,9.0983212371634870e-01,1.0574835130423004e+01
random,1,40,Random_blocking,11012,1,8.4261708802453472e-01,1.0644244038028738e+01
random,1,40,Random_blocking,11013,0,8.6446338094492259e-01,1.1136615721725784e+01
random,1,40,Random_blocking,11014,0,9.0739886833231143e-01,1.1096958311929765e+01
random,1,40,Random_blocking,11015,0,8.7362642564453019e-01,1.0252061307830127e+01
random,1,40,Random_blocking,11016,0,8.8271267116659646e-01,1.0578181696634518e+01
random,1,40,Random_blocking,11017,0,8.9598990168246651e-01,1.0114361155083616e+01
random,1,40,Random_blocking,11018,0,8.8492190139812599e-01,1.1074806473449948e+01
random,1,40,Random_blocking,11019,0,8.6239017549943764e-01,1.0069069802662799e+01
random,1,40,Random_blocking,11020,0,9.1176975880794420e-01,1.0911917412970292e+01
random,1,40,Random_blocking,11021,0,8.6510286221287380e-01,1.0779948841761257e+01
random,1,40,Random_blocking,11022,0,9.4157731309008230e-01,1.1040869422344681e+01
random,1,40,Random_blocking,11023,0,9.0520904703612393e-01,1.0465017108350718e+01
random,1,40,Random_blocking,11024,0,8.7111258818505211e-01,1.0797133890145844e+01
random,1,40,Random_blocking,11025,0,8.6167258153519988e-01,1.0684212088177095e+01
random,1,40,Random_blocking,11026,0,8.7615737228285340e-01,1.0743800741419779e+01
random,1,40,Random_blocking,11027,0,9.1532128520321576e-01,1.0360977172436487e+01
random,1,40,Random_blocking,11028,0,9.3214576522510750e-01,1.0829874254724508e+01
random,1,40,Random_blocking,11029,0,8.7622254307945802e-01,1.0884884550793236e+01
random,2,80,LoRA_SVD,,1,7.0558314140458556e-01,1.0809742154792861e+01
random,2,80,LoRA_LBFGS,4,1,7.0558314140459055e-01,1.0809742488709697e+01
random,2,80,Random_projection,21000,0,8.1376734570590470e-01,1.0751871722803450e+01
random,2,80,Random_projection,21001,0,8.1283876866993732e-01,1.0827099295602292e+01
random,2,80,Random_projection,21002,0,8.4068205350350356e-01,1.1321428034103420e+01
random,2,80,Random_projection,21003,0,8.3793950163594333e-01,1.0932963566177538e+01
random,2,80,Random_projection,21004,0,7.6824696010941251e-01,1.0711567416100868e+01
random,2,80,Random_projection,21005,0,8.1632397789967714e-01,1.1028747559693111e+01
random,2,80,Random_projection,21006,0,8.2240338258552770e-01,1.0371938017356875e+01
random,2,80,Random_projection,21007,0,8.1320230561892393e-01,1.1278132734996202e+01
random,2,80,Random_projection,21008,0,8.2280440727427751e-01,1.0535182439294646e+01
random,2,80,Random_projection,21009,0,8.1444866305857111e-01,1.0610086789284649e+01
random,2,80,Random_projection,21010,0,8.1691249034001701e-01,1.0428828653010944e+01
random,2,80,Random_projection,21011,0,7.9611978738510580e-01,1.0471271679748099e+01
random,2,80,Random_projection,21012,0,8.6666686599011988e-01,1.0734435093603725e+01
random,2,80,Random_projection,21013,0,8.0386132055077020e-01,1.0459309598227325e+01
random,2,80,Random_projection,21014,0,8.2613649329453431e-01,1.1110091572687292e+01
random,2,80,Random_projection,21015,0,7.4572903616183184e-01,1.0081103324654570e+01
random,2,80,Random_projection,21016,0,8.0024363668252085e-01,1.1097269489788637e+01
random,2,80,Random_projection,21017,0,7.6535729521336493e-01,1.1584495044050351e+01
random,2,80,Random_projection,21018,0,8.1299381037299789e-01,1.0685846057124508e+01
random,2,80,Random_projection,21019,0,7.8507507395357379e-01,1.0918596255841482e+01
