# target_mode=random
# shifted_benchmark=rastrigin
lora_rank,search_dim,method,seed,relative_mse,benchmark_value
1,40,LoRA_SVD,,8.3554569500967768e-01,1.1141537096727447e+01
1,40,LoRA_LBFGS,2,8.3554569500967923e-01,1.1141536913366997e+01
1,40,Best_RP,11027,8.6564117294390031e-01,1.0960877422312272e+01
1,40,Best_RB,11012,8.4261708802453472e-01,1.0644244038028738e+01
2,80,LoRA_SVD,,7.0558314140458556e-01,1.0809742154792861e+01
2,80,LoRA_LBFGS,4,7.0558314140459055e-01,1.0809742488709697e+01
2,80,Best_RP,21027,7.2469557025783315e-01,1.0542299467382307e+01
2,80,Best_RB,21021,6.9891140037284194e-01,1.0405915755398995e+01
4,160,LoRA_SVD,,4.7283520437230225e-01,1.0641044228587319e+01
4,160,LoRA_LBFGS,4,4.7283520437230964e-01,1.0641043807366682e+01
4,160,Best_RP,41016,5.1157847435968040e-01,1.0620521750636433e+01
4,160,Best_RB,41004,5.6796339916034266e-01,9.8656080051391939e+00
