# target_mode=random
# shifted_benchmark=rastrigin
method,seed,relative_mse,benchmark_value
LoRA_SVD_rank_r,,4.7283520437230225e-01,1.0641044228587319e+01
LoRA_LBFGS_best_restart,1007,4.7283520437230375e-01,1.0641044027760417e+01
Random_projection,1000,6.3548632501666225e-01,1.0668513867097415e+01
Random_projection,1001,6.1682827139699004e-01,9.9848304453058390e+00
Random_projection,1002,6.4207679596461065e-01,1.0775064705378304e+01
Random_projection,1003,5.6965884980448667e-01,1.1049671905674119e+01
Random_projection,1004,5.3404514157829686e-01,1.0686081791988761e+01
Random_projection,1005,5.6058693390862113e-01,1.1255693097100934e+01
Random_projection,1006,5.8453178825734620e-01,9.8576355552919832e+00
Random_projection,1007,5.5718853761491427e-01,1.0327678722635564e+01
Random_projection,1008,5.8756063157391702e-01,1.0796469422471928e+01
Random_projection,1009,6.1847902727297133e-01,1.0488602218115615e+01
Random_projection,1010,6.2052483603186315e-01,1.0782300772651842e+01
Random_projection,1011,5.6912118232447328e-01,1.1048411246951899e+01
Random_projection,1012,6.2203635768836840e-01,1.0738519247725296e+01
Random_projection,1013,6.3046137525945045e-01,1.1031109716356255e+01
Random_projection,1014,6.3736365324069599e-01,1.0404090931336658e+01
Random_projection,1015,6.3101080973476187e-01,1.0987493759150830e+01
Random_projection,1016,5.6665055447454593e-01,1.0501302896791328e+01
Random_projection,1017,5.9575808954558662e-01,1.0666167309756833e+01
Random_projection,1018,5.6931251047791753e-01,1.0739043807320522e+01
Random_projection,1019,5.4024381512467567e-01,1.0738155030538858e+01
Random_projection,1020,6.1336573025651941e-01,1.0029384303459024e+01
Random_projection,1021,5.8330025422241116e-01,1.0920730605599703e+01
Random_projection,1022,6.0572444710280327e-01,1.0565922802285723e+01
Random_projection,1023,5.6547599476929811e-01,1.1196857290624731e+01
Random_projection,1024,5.8093829608818759e-01,1.0523028176319517e+01
Random_projection,1025,5.8703744526080193e-01,1.0584793154176502e+01
Random_projection,1026,6.0672887006304854e-01,9.9920856185625304e+00
Random_projection,1027,6.3972683685468246e-01,1.0578021082536710e+01
Random_projection,1028,6.3298906848373082e-01,1.0897642184492058e+01
Random_projection,1029,6.1806346350731922e-01,1.0060462696248278e+01
Random_blocking,1000,6.7094496975078355e-01,9.1920790482076029e+00
Random_blocking,1001,6.0131763729076693e-01,9.9825619761935407e+00
Random_blocking,1002,6.7339198383131071e-01,9.9227038977821636e+00
Random_blocking,1003,6.3007854899453353e-01,9.9537820486474669e+00
Random_blocking,1004,6.6900525138668954e-01,1.0081762333245781e+01
Random_blocking,1005,6.5664594663458198e-01,9.5439838098146659e+00
Random_blocking,1006,6.1831310804009765e-01,1.0391264334871142e+01
Random_blocking,1007,6.2519694350045862e-01,9.5042109730528370e+00
Random_blocking,1008,5.9124892612119362e-01,9.7326416080802147e+00
Random_blocking,1009,6.2477867058078351e-01,1.0461047521218088e+01
Random_blocking,1010,5.7687341726522812e-01,1.0349186697740622e+01
Random_blocking,1011,6.5498349084946750e-01,9.5360036388243756e+00
Random_blocking,1012,6.2657814464136330e-01,9.8099131030989764e+00
Random_blocking,1013,6.2026018481127754e-01,9.9178430282193002e+00
Random_blocking,1014,6.6374494495783021e-01,9.7508851742469478e+00
Random_blocking,1015,5.9809173964615558e-01,1.0068149311891872e+01
Random_blocking,1016,6.1228540362811756e-01,9.5937773154157266e+00
Random_blocking,1017,6.7843932487655134e-01,1.0650961143472744e+01
Random_blocking,1018,6.2976109152495652e-01,1.0207011262378410e+01
Random_blocking,1019,6.4386925815298335e-01,9.6829664823971129e+00
Random_blocking,1020,6.3606513932487729e-01,1.0074233019328776e+01
Random_blocking,1021,6.0315193335170803e-01,1.0154564093238193e+01
Random_blocking,1022,6.1316657325286694e-01,9.1570175199165895e+00
Random_blocking,1023,6.4234582475554802e-01,1.0134399880797032e+01
Random_blocking,1024,5.9374729047910346e-01,9.4153729987402173e+00
Random_blocking,1025,6.1544064959093847e-01,9.3111373947676093e+00
Random_blocking,1026,6.7273457476563170e-01,9.8846775588012257e+00
Random_blocking,1027,6.6264240523034212e-01,8.9325041507461584e+00
Random_blocking,1028,6.5095390709205725e-01,1.0410571766100917e+01
Random_blocking,1029,6.6577692910653552e-01,1.0112037800829830e+01
